Time,Open,High,Low,Close
2021-06-01 04:55:00,1.41883,1.4194,1.41869,1.41893
2021-06-01 05:00:00,1.41892,1.41948,1.41889,1.41912
2021-06-01 05:05:00,1.41907,1.41924,1.41871,1.41892
2021-06-01 05:10:00,1.41892,1.41914,1.41856,1.41871
2021-06-01 05:15:00,1.41871,1.41912,1.41859,1.41911
2021-06-01 05:20:00,1.41914,1.41919,1.41872,1.41879
2021-06-01 05:25:00,1.41879,1.41901,1.41848,1.41876
2021-06-01 05:30:00,1.41876,1.41881,1.41822,1.41822
2021-06-01 05:35:00,1.41821,1.41852,1.41801,1.4181
2021-06-01 05:40:00,1.4181,1.41855,1.41809,1.41823
2021-06-01 05:45:00,1.41822,1.41881,1.4182,1.41863
2021-06-01 05:50:00,1.41864,1.41864,1.41821,1.41838
2021-06-01 05:55:00,1.41837,1.41843,1.41797,1.4182
2021-06-01 06:00:00,1.41823,1.41823,1.41774,1.41784
2021-06-01 06:05:00,1.41782,1.4182,1.41771,1.41819
2021-06-01 06:10:00,1.41819,1.41854,1.41723,1.41753
2021-06-01 06:15:00,1.41752,1.41764,1.41717,1.41741
2021-06-01 06:20:00,1.41741,1.41771,1.41703,1.41706
2021-06-01 06:25:00,1.41708,1.41733,1.41662,1.41722
2021-06-01 06:30:00,1.41722,1.41764,1.41713,1.41754
2021-06-01 06:35:00,1.41755,1.41821,1.41755,1.4182
2021-06-01 06:40:00,1.41819,1.41819,1.41773,1.41804
2021-06-01 06:45:00,1.41799,1.41845,1.41798,1.41832
2021-06-01 06:50:00,1.41833,1.41892,1.41831,1.41891
2021-06-01 06:55:00,1.4189,1.41892,1.41792,1.41807
2021-06-01 07:00:00,1.41808,1.41808,1.41743,1.41751
2021-06-01 07:05:00,1.41753,1.41793,1.41739,1.4174
2021-06-01 07:10:00,1.4174,1.41821,1.41733,1.41802
2021-06-01 07:15:00,1.41804,1.41805,1.41756,1.41759
2021-06-01 07:20:00,1.41761,1.41822,1.41758,1.41818
2021-06-01 07:25:00,1.41817,1.41842,1.41798,1.41812
2021-06-01 07:30:00,1.41814,1.41851,1.41814,1.41842
2021-06-01 07:35:00,1.41844,1.41881,1.41838,1.41872
2021-06-01 07:40:00,1.41874,1.41883,1.41827,1.41839
2021-06-01 07:45:00,1.41838,1.41838,1.41714,1.41719
2021-06-01 07:50:00,1.41718,1.41777,1.41718,1.41748
2021-06-01 07:55:00,1.41748,1.41748,1.41681,1.41695
2021-06-01 08:00:00,1.41693,1.41761,1.41668,1.41738
2021-06-01 08:05:00,1.41736,1.4174,1.41698,1.41716
2021-06-01 08:10:00,1.41714,1.41725,1.41672,1.41679
2021-06-01 08:15:00,1.41678,1.41679,1.4164,1.41658
2021-06-01 08:20:00,1.41661,1.41681,1.41613,1.41619
2021-06-01 08:25:00,1.41617,1.41686,1.41608,1.41661
2021-06-01 08:30:00,1.41662,1.41676,1.416,1.41619
2021-06-01 08:35:00,1.41615,1.41624,1.4155,1.41573
2021-06-01 08:40:00,1.41572,1.41624,1.41571,1.41604
2021-06-01 08:45:00,1.41604,1.41604,1.41562,1.41583
2021-06-01 08:50:00,1.41584,1.416,1.41562,1.41595
2021-06-01 08:55:00,1.41595,1.41598,1.4156,1.41593
2021-06-01 09:00:00,1.4159,1.41603,1.41572,1.41589
2021-06-01 09:05:00,1.41589,1.4161,1.41573,1.41596
2021-06-01 09:10:00,1.41596,1.41676,1.41596,1.41675
2021-06-01 09:15:00,1.41673,1.41723,1.41671,1.41716
